"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","Policy is accepted ""Exclusive Usage""","","Mon Jun 29 08:25:35 UTC 2026","passed","Mon Jun 29 08:25:35 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","59","Policy is accepted ""Enforce data usage end date 1 second in the future""","","Mon Jun 29 08:25:36 UTC 2026","passed","Mon Jun 29 08:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","61","Verify HTTP 200 response and body when refreshing succeeds","","Mon Jun 29 08:23:57 UTC 2026","passed","Mon Jun 29 08:23:57 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_success"
"","66","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Mon Jun 29 08:21:47 UTC 2026","passed","Mon Jun 29 08:21:47 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","58","4.3.3 Verify invalid access token - expired","","Mon Jun 29 08:22:01 UTC 2026","passed","Mon Jun 29 08:22:01 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenExpired"
"","5332","When multiple requests to refresh, to different edrs, verify all return non expired token","","Mon Jun 29 08:23:52 UTC 2026","passed","Mon Jun 29 08:23:57 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_subsequentRequestReturn"
"","36","Policy is not accepted due to missing context ""Exclusive Usage""","","Mon Jun 29 08:25:37 UTC 2026","passed","Mon Jun 29 08:25:38 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","115","BusinessPartnerDeleted event is published","","Mon Jun 29 08:24:09 UTC 2026","passed","Mon Jun 29 08:24:09 UTC 2026","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerDeletedEvent"
"","66","Policy is not accepted because definition is not correct ""Usage policy prohibition with not allowed constraints""","","Mon Jun 29 08:25:36 UTC 2026","passed","Mon Jun 29 08:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","84","Policy is accepted ""Data Frequency""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
